track_id,seed,step,metric,value,timestamp
8,42,0,max_lipschitz,1.0150001049041748,2026-01-04T18:38:55.537183
8,42,0,avg_velocity,0.002913759586890592,2026-01-04T18:38:55.537197
8,42,0,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.537210
8,42,0,layer_1_scale,0.7248576283454895,2026-01-04T18:38:55.537219
8,42,0,layer_2_scale,0.7243161201477051,2026-01-04T18:38:55.537226
8,42,0,layer_3_scale,0.723035454750061,2026-01-04T18:38:55.537232
8,42,0,layer_4_scale,0.7207307815551758,2026-01-04T18:38:55.537238
8,42,1,max_lipschitz,1.0150001049041748,2026-01-04T18:38:55.559173
8,42,1,avg_velocity,0.0023836837853315274,2026-01-04T18:38:55.559185
8,42,1,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.559198
8,42,1,layer_1_scale,0.6650511026382446,2026-01-04T18:38:55.559204
8,42,1,layer_2_scale,0.6644934415817261,2026-01-04T18:38:55.559211
8,42,1,layer_3_scale,0.6631944179534912,2026-01-04T18:38:55.559216
8,42,1,layer_4_scale,0.6609576940536499,2026-01-04T18:38:55.559222
8,42,2,max_lipschitz,1.0150001049041748,2026-01-04T18:38:55.578614
8,42,2,avg_velocity,0.002066406347551606,2026-01-04T18:38:55.578628
8,42,2,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.578640
8,42,2,layer_1_scale,0.6317320466041565,2026-01-04T18:38:55.578648
8,42,2,layer_2_scale,0.6309229135513306,2026-01-04T18:38:55.578659
8,42,2,layer_3_scale,0.6290762424468994,2026-01-04T18:38:55.578665
8,42,2,layer_4_scale,0.6260058283805847,2026-01-04T18:38:55.578671
8,42,3,max_lipschitz,1.0150001049041748,2026-01-04T18:38:55.598015
8,42,3,avg_velocity,0.0018657381186704923,2026-01-04T18:38:55.598027
8,42,3,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.598039
8,42,3,layer_1_scale,0.6000851988792419,2026-01-04T18:38:55.598046
8,42,3,layer_2_scale,0.5990683436393738,2026-01-04T18:38:55.598052
8,42,3,layer_3_scale,0.5967910289764404,2026-01-04T18:38:55.598059
8,42,3,layer_4_scale,0.593116283416748,2026-01-04T18:38:55.598066
8,42,4,max_lipschitz,1.0149999856948853,2026-01-04T18:38:55.617631
8,42,4,avg_velocity,0.0016690342100929457,2026-01-04T18:38:55.617644
8,42,4,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.617655
8,42,4,layer_1_scale,0.5700265169143677,2026-01-04T18:38:55.617662
8,42,4,layer_2_scale,0.5688413381576538,2026-01-04T18:38:55.617668
8,42,4,layer_3_scale,0.5662367343902588,2026-01-04T18:38:55.617674
8,42,4,layer_4_scale,0.5621509552001953,2026-01-04T18:38:55.617680
8,42,5,max_lipschitz,1.0149999856948853,2026-01-04T18:38:55.636817
8,42,5,avg_velocity,0.0014815836455574073,2026-01-04T18:38:55.636829
8,42,5,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.636841
8,42,5,layer_1_scale,0.5414762496948242,2026-01-04T18:38:55.636856
8,42,5,layer_2_scale,0.5401577949523926,2026-01-04T18:38:55.636863
8,42,5,layer_3_scale,0.5373155474662781,2026-01-04T18:38:55.636868
8,42,5,layer_4_scale,0.5329766273498535,2026-01-04T18:38:55.636875
8,42,6,max_lipschitz,1.0149999856948853,2026-01-04T18:38:55.656264
8,42,6,avg_velocity,0.0013069587523960992,2026-01-04T18:38:55.656276
8,42,6,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.656288
8,42,6,layer_1_scale,0.5143585205078125,2026-01-04T18:38:55.656294
8,42,6,layer_2_scale,0.5129377841949463,2026-01-04T18:38:55.656300
8,42,6,layer_3_scale,0.5099341869354248,2026-01-04T18:38:55.656306
8,42,6,layer_4_scale,0.505467414855957,2026-01-04T18:38:55.656312
8,42,7,max_lipschitz,1.0149999856948853,2026-01-04T18:38:55.676296
8,42,7,avg_velocity,0.0011472816926044517,2026-01-04T18:38:55.676308
8,42,7,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.676319
8,42,7,layer_1_scale,0.48860129714012146,2026-01-04T18:38:55.676326
8,42,7,layer_2_scale,0.48710545897483826,2026-01-04T18:38:55.676333
8,42,7,layer_3_scale,0.48400428891181946,2026-01-04T18:38:55.676339
8,42,7,layer_4_scale,0.47950607538223267,2026-01-04T18:38:55.676345
8,42,8,max_lipschitz,1.0149999856948853,2026-01-04T18:38:55.694935
8,42,8,avg_velocity,0.0010034265635778185,2026-01-04T18:38:55.694948
8,42,8,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.694962
8,42,8,layer_1_scale,0.46413618326187134,2026-01-04T18:38:55.694969
8,42,8,layer_2_scale,0.46258875727653503,2026-01-04T18:38:55.694975
8,42,8,layer_3_scale,0.4594424366950989,2026-01-04T18:38:55.694980
8,42,8,layer_4_scale,0.4549848139286041,2026-01-04T18:38:55.694986
8,42,9,max_lipschitz,1.0150001049041748,2026-01-04T18:38:55.713875
8,42,9,avg_velocity,0.00087532681427831,2026-01-04T18:38:55.713888
8,42,9,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.713900
8,42,9,layer_1_scale,0.44089823961257935,2026-01-04T18:38:55.713906
8,42,9,layer_2_scale,0.4393194019794464,2026-01-04T18:38:55.713912
8,42,9,layer_3_scale,0.43617016077041626,2026-01-04T18:38:55.713918
8,42,9,layer_4_scale,0.43180525302886963,2026-01-04T18:38:55.713924
8,42,10,max_lipschitz,1.0149999856948853,2026-01-04T18:38:55.732354
8,42,10,avg_velocity,0.0007622861393230095,2026-01-04T18:38:55.732368
8,42,10,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.732381
8,42,10,layer_1_scale,0.41882577538490295,2026-01-04T18:38:55.732388
8,42,10,layer_2_scale,0.4172326624393463,2026-01-04T18:38:55.732395
8,42,10,layer_3_scale,0.4141138792037964,2026-01-04T18:38:55.732400
8,42,10,layer_4_scale,0.4098779559135437,2026-01-04T18:38:55.732406
8,42,11,max_lipschitz,1.0150001049041748,2026-01-04T18:38:55.750440
8,42,11,avg_velocity,0.0006632240718391812,2026-01-04T18:38:55.750451
8,42,11,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.750463
8,42,11,layer_1_scale,0.39786019921302795,2026-01-04T18:38:55.750470
8,42,11,layer_2_scale,0.39626723527908325,2026-01-04T18:38:55.750476
8,42,11,layer_3_scale,0.3932047188282013,2026-01-04T18:38:55.750482
8,42,11,layer_4_scale,0.3891216516494751,2026-01-04T18:38:55.750493
8,42,12,max_lipschitz,1.0149999856948853,2026-01-04T18:38:55.769855
8,42,12,avg_velocity,0.0005768823313638905,2026-01-04T18:38:55.769868
8,42,12,layer_0_scale,0.7250000238418579,2026-01-04T18:38:55.769880
8,42,12,layer_1_scale,0.3779458701610565,2026-01-04T18:38:55.769888
8,42,12,layer_2_scale,0.3763650357723236,2026-01-04T18:38:55.769894
8,42,12,layer_3_scale,0.3733782470226288,2026-01-04T18:38:55.769901
